"","...1","title","author","subject","abstract","meta"
"42",42,"scalable spatiotemporal prediction with bayesian neural fields","feras saad, jacob burnim, colin carroll, brian patton, urs köster, rif a. saurous, matthew hoffman","machine learning","spatiotemporal datasets, which consist of spatially-referenced time series, are ubiquitous in many scientific and business-intelligence applications, such as air pollution monitoring, disease tracking, and cloud-demand forecasting. as modern datasets continue to increase in size and complexity, there is a growing need for new statistical methods that are flexible enough to capture complex spatiotemporal dynamics and scalable enough to handle large prediction problems. this work presents the bayesian neural field (bayesnf), a domain-general statistical model for inferring rich probability distributions over a spatiotemporal domain, which can be used for data-analysis tasks including forecasting, interpolation, and variography. bayesnf integrates a novel deep neural network architecture for high-capacity function estimation with hierarchical bayesian inference for robust uncertainty quantification. by defining the prior through a sequence of smooth differentiable transforms, posterior inference is conducted on large-scale data using variationally learned surrogates trained via stochastic gradient descent. we evaluate bayesnf against prominent statistical and machine-learning baselines, showing considerable improvements on diverse prediction problems from climate and public health datasets that contain tens to hundreds of thousands of measurements. the paper is accompanied with an open-source software package (this https url) that is easy-to-use and compatible with modern gpu and tpu accelerators on the jax machine learning platform.",2024-03-12
"43",43,"harder tasks need more experts: dynamic routing in moe models","quzhe huang, zhenwei an, nan zhuang, mingxu tao, chen zhang, yang jin, kun xu, kun xu, liwei chen, songfang huang, yansong feng","machine learning","in this paper, we introduce a novel dynamic expert selection framework for mixture of experts (moe) models, aiming to enhance computational efficiency and model performance by adjusting the number of activated experts based on input difficulty. unlike traditional moe approaches that rely on fixed top-k routing, which activates a predetermined number of experts regardless of the input's complexity, our method dynamically selects experts based on the confidence level in expert selection for each input. this allows for a more efficient utilization of computational resources, activating more experts for complex tasks requiring advanced reasoning and fewer for simpler tasks. through extensive evaluations, our dynamic routing method demonstrates substantial improvements over conventional top-2 routing across various benchmarks, achieving an average improvement of 0.7% with less than 90% activated parameters. further analysis shows our model dispatches more experts to tasks requiring complex reasoning skills, like bbh, confirming its ability to dynamically allocate computational resources in alignment with the input's complexity. our findings also highlight a variation in the number of experts needed across different layers of the transformer model, offering insights into the potential for designing heterogeneous moe frameworks. the code and models are available at this https url.",2024-03-12
"44",44,"characterization of large language model development in the datacenter","qinghao hu, zhisheng ye, zerui wang, guoteng wang, meng zhang, qiaoling chen, peng sun, dahua lin, xiaolin wang, yingwei luo, yonggang wen, tianwei zhang","distributed, parallel, and cluster computing","large language models (llms) have presented impressive performance across several transformative tasks. however, it is non-trivial to efficiently utilize large-scale cluster resources to develop llms, often riddled with numerous challenges such as frequent hardware failures, intricate parallelization strategies, and imbalanced resource utilization. in this paper, we present an in-depth characterization study of a six-month llm development workload trace collected from our gpu datacenter acme. specifically, we investigate discrepancies between llms and prior task-specific deep learning (dl) workloads, explore resource utilization patterns, and identify the impact of various job failures. our analysis summarizes hurdles we encountered and uncovers potential opportunities to optimize systems tailored for llms. furthermore, we introduce our system efforts: (1) fault-tolerant pretraining, which enhances fault tolerance through llm-involved failure diagnosis and automatic recovery. (2) decoupled scheduling for evaluation, which achieves timely performance feedback via trial decomposition and scheduling optimization.",2024-03-12
"45",45,"cardiogenai: a machine learning-based framework for re-engineering drugs for reduced herg liability","gregory w. kyro, matthew t. martin, eric d. watt, victor s. batista","machine learning","drug-induced cardiotoxicity is a major health concern which can lead to serious adverse effects including life-threatening cardiac arrhythmias via the blockade of the voltage-gated herg potassium ion channel. it is therefore of tremendous interest to develop advanced methods to identify herg-active compounds in early stages of drug development, as well as to optimize commercially available drugs for reduced herg activity. in this work, we present cardiogenai, a machine learning-based framework for re-engineering both developmental and marketed drugs for reduced herg activity while preserving their pharmacological activity. the framework incorporates novel state-of-the-art discriminative models for predicting herg channel activity, as well as activity against the voltage-gated nav1.5 and cav1.2 channels due to their potential implications in modulating the arrhythmogenic potential induced by herg channel blockade. these models can also serve independently as effective components of a virtual screening pipeline. we applied the complete framework to pimozide, an fda-approved antipsychotic agent that demonstrates high affinity to the herg channel, and generated 100 refined candidates. remarkably, among the candidates is fluspirilene, a compound which is of the same class of drugs (diphenylmethanes) as pimozide and therefore has similar pharmacological activity, yet exhibits over 700-fold weaker binding to herg. we have made all of our software open-source to facilitate integration of the cardiogenai framework for molecular hypothesis generation into drug discovery workflows.",2024-03-12
"46",46,"generaitor: tree-in-the-loop text generation for language model explainability and adaptation","thilo spinner, rebecca kehlbeck, rita sevastjanova, tobias stähle, daniel a. keim, oliver deussen, mennatallah el-assady","human-computer interaction","large language models (llms) are widely deployed in various downstream tasks, e.g., auto-completion, aided writing, or chat-based text generation. however, the considered output candidates of the underlying search algorithm are under-explored and under-explained. we tackle this shortcoming by proposing a tree-in-the-loop approach, where a visual representation of the beam search tree is the central component for analyzing, explaining, and adapting the generated outputs. to support these tasks, we present generaitor, a visual analytics technique, augmenting the central beam search tree with various task-specific widgets, providing targeted visualizations and interaction possibilities. our approach allows interactions on multiple levels and offers an iterative pipeline that encompasses generating, exploring, and comparing output candidates, as well as fine-tuning the model based on adapted data. our case study shows that our tool generates new insights in gender bias analysis beyond state-of-the-art template-based methods. additionally, we demonstrate the applicability of our approach in a qualitative user study. finally, we quantitatively evaluate the adaptability of the model to few samples, as occurring in text-generation use cases.",2024-03-12
"47",47,"efficient knowledge deletion from trained models through layer-wise partial machine unlearning","vinay chakravarthi gogineni, esmaeil s. nadimi","machine learning","machine unlearning has garnered significant attention due to its ability to selectively erase knowledge obtained from specific training data samples in an already trained machine learning model. this capability enables data holders to adhere strictly to data protection regulations. however, existing unlearning techniques face practical constraints, often causing performance degradation, demanding brief fine-tuning post unlearning, and requiring significant storage. in response, this paper introduces a novel class of machine unlearning algorithms. first method is partial amnesiac unlearning, integration of layer-wise pruning with amnesiac unlearning. in this method, updates made to the model during training are pruned and stored, subsequently used to forget specific data from trained model. the second method assimilates layer-wise partial-updates into label-flipping and optimization-based unlearning to mitigate the adverse effects of data deletion on model efficacy. through a detailed experimental evaluation, we showcase the effectiveness of proposed unlearning methods. experimental results highlight that the partial amnesiac unlearning not only preserves model efficacy but also eliminates the necessity for brief post fine-tuning, unlike conventional amnesiac unlearning. moreover, employing layer-wise partial updates in label-flipping and optimization-based unlearning techniques demonstrates superiority in preserving model efficacy compared to their naive counterparts.",2024-03-12
"48",48,"couler: unified machine learning workflow optimization in cloud","xiaoda wang, yuan tang, tengda guo, bo sang, jingji wu, jian sha, ke zhang, jiang qian, mingjie tang","databases","machine learning (ml) has become ubiquitous, fueling data-driven applications across various organizations. contrary to the traditional perception of ml in research, ml workflows can be complex, resource-intensive, and time-consuming. expanding an ml workflow to encompass a wider range of data infrastructure and data types may lead to larger workloads and increased deployment costs. currently, numerous workflow engines are available (with over ten being widely recognized). this variety poses a challenge for end-users in terms of mastering different engine apis. while efforts have primarily focused on optimizing ml operations (mlops) for a specific workflow engine, current methods largely overlook workflow optimization across different engines. in this work, we design and implement couler, a system designed for unified ml workflow optimization in the cloud. our main insight lies in the ability to generate an ml workflow using natural language (nl) descriptions. we integrate large language models (llms) into workflow generation, and provide a unified programming interface for various workflow engines. this approach alleviates the need to understand various workflow engines' apis. moreover, couler enhances workflow computation efficiency by introducing automated caching at multiple stages, enabling large workflow auto-parallelization and automatic hyperparameters tuning. these enhancements minimize redundant computational costs and improve fault tolerance during deep learning workflow training. couler is extensively deployed in real-world production scenarios at ant group, handling approximately 22k workflows daily, and has successfully improved the cpu/memory utilization by more than 15% and the workflow completion rate by around 17%.",2024-03-12
"49",49,"optimizing negative prompts for enhanced aesthetics and fidelity in text-to-image generation","michael ogezi, ning shi","computer vision and pattern recognition","in text-to-image generation, using negative prompts, which describe undesirable image characteristics, can significantly boost image quality. however, producing good negative prompts is manual and tedious. to address this, we propose negopt, a novel method for optimizing negative prompt generation toward enhanced image generation, using supervised fine-tuning and reinforcement learning. our combined approach results in a substantial increase of 25% in inception score compared to other approaches and surpasses ground-truth negative prompts from the test set. furthermore, with negopt we can preferentially optimize the metrics most important to us. finally, we construct negative prompts db, a dataset of negative prompts.",2024-03-12
"50",50,"propml: probability partial multi-label learning","łukasz struski, adam pardyl, jacek tabor, bartosz zieliński","machine learning","partial multi-label learning (pml) is a type of weakly supervised learning where each training instance corresponds to a set of candidate labels, among which only some are true. in this paper, we introduce \our{}, a novel probabilistic approach to this problem that extends the binary cross entropy to the pml setup. in contrast to existing methods, it does not require suboptimal disambiguation and, as such, can be applied to any deep architecture. furthermore, experiments conducted on artificial and real-world datasets indicate that \our{} outperforms existing approaches, especially for high noise in a candidate set.",2024-03-12
"51",51,"robustifying and boosting training-free neural architecture search","zhenfeng he, yao shu, zhongxiang dai, bryan kian hsiang low","machine learning","neural architecture search (nas) has become a key component of automl and a standard tool to automate the design of deep neural networks. recently, training-free nas as an emerging paradigm has successfully reduced the search costs of standard training-based nas by estimating the true architecture performance with only training-free metrics. nevertheless, the estimation ability of these metrics typically varies across different tasks, making it challenging to achieve robust and consistently good search performance on diverse tasks with only a single training-free metric. meanwhile, the estimation gap between training-free metrics and the true architecture performances limits training-free nas to achieve superior performance. to address these challenges, we propose the robustifying and boosting training-free nas (robot) algorithm which (a) employs the optimized combination of existing training-free metrics explored from bayesian optimization to develop a robust and consistently better-performing metric on diverse tasks, and (b) applies greedy search, i.e., the exploitation, on the newly developed metric to bridge the aforementioned gap and consequently to boost the search performance of standard training-free nas further. remarkably, the expected performance of our robot can be theoretically guaranteed, which improves over the existing training-free nas under mild conditions with additional interesting insights. our extensive experiments on various nas benchmark tasks yield substantial empirical evidence to support our theoretical results.",2024-03-12
"52",52,"visual privacy auditing with diffusion models","kristian schwethelm, johannes kaiser, moritz knolle, daniel rueckert, georgios kaissis, alexander ziller","machine learning","image reconstruction attacks on machine learning models pose a significant risk to privacy by potentially leaking sensitive information. although defending against such attacks using differential privacy (dp) has proven effective, determining appropriate dp parameters remains challenging. current formal guarantees on data reconstruction success suffer from overly theoretical assumptions regarding adversary knowledge about the target data, particularly in the image domain. in this work, we empirically investigate this discrepancy and find that the practicality of these assumptions strongly depends on the domain shift between the data prior and the reconstruction target. we propose a reconstruction attack based on diffusion models (dms) that assumes adversary access to real-world image priors and assess its implications on privacy leakage under dp-sgd. we show that (1) real-world data priors significantly influence reconstruction success, (2) current reconstruction bounds do not model the risk posed by data priors well, and (3) dms can serve as effective auditing tools for visualizing privacy leakage.",2024-03-12
"53",53,"federated learning of socially appropriate agent behaviours in simulated home environments","saksham checker, nikhil churamani, hatice gunes","machine learning","as social robots become increasingly integrated into daily life, ensuring their behaviours align with social norms is crucial. for their widespread open-world application, it is important to explore federated learning (fl) settings where individual robots can learn about their unique environments while also learning from each others' experiences. in this paper, we present a novel fl benchmark that evaluates different strategies, using multi-label regression objectives, where each client individually learns to predict the social appropriateness of different robot actions while also sharing their learning with others. furthermore, splitting the training data by different contexts such that each client incrementally learns across contexts, we present a novel federated continual learning (fcl) benchmark that adapts fl-based methods to use state-of-the-art continual learning (cl) methods to continually learn socially appropriate agent behaviours under different contextual settings. federated averaging (fedavg) of weights emerges as a robust fl strategy while rehearsal-based fcl enables incrementally learning the social appropriateness of robot actions, across contextual splits.",2024-03-12
"54",54,"communication optimization for distributed training: architecture, advances, and opportunities","yunze wei, tianshuo hu, cong liang, yong cui","distributed, parallel, and cluster computing","the past few years have witnessed the flourishing of large-scale deep neural network models with ever-growing parameter numbers. training such large-scale models typically requires massive memory and computing resources that exceed those of a single gpu, necessitating distributed training. as gpu performance has rapidly evolved in recent years, computation time has shrunk, thereby increasing the proportion of communication in the overall training time. therefore, optimizing communication for distributed training has become an urgent issue. in this article, we briefly introduce the general architecture of distributed deep neural network training and analyze relationships among parallelization strategy, collective communication library, and network from the perspective of communication optimization, which forms a three-layer paradigm. we then review current representative research advances with this three-layer paradigm. we find that layers in the current three-layer paradigm are relatively independent, but there is a rich design space for cross-layer collaborative optimization in distributed training scenarios. therefore, we further advocate a communication-efficient five-layer paradigm underlining opportunities for collaboration designs and look forward to the perspectives of ""vertical"", ""horizontal"", ""intra-inter"" and ""host-net"" collaboration designs. we hope this article can shed some light on future research on communication optimization for distributed training.",2024-03-12
"55",55,"molecularity: a fast and efficient criterion for probing superconductivity","matías e. di mauro, benoît braïda, ion errea, trinidad novoa, julia contreras-garcía","superconductivity","we present an efficient criterion for probing the critical temperature of hydrogen based superconductors. we start by expanding the applicability of 3d descriptors of electron localization to superconducting states within the framework of superconducting dft. we first apply this descriptor to a model system, the hydrogen chain, which allows to prove two main concepts: i) that the electron localization changes very little when the transition from the normal to the superconducting state takes place, i.e. that it can be described at the dft level from the normal state; and ii) that the formation of molecules can be characterized within this theoretical framework, enabling to filter out systems with marked molecular character and hence with low potential to be good superconductors. these two ideas, are then exploited in real binary and ternary systems, showing i) that the bonding type can be characterized automatically; and ii) that this provides a new index which enables to feed machine learning algorithms for a better prediction of critical temperatures. overall, this sets a grounded theoretical scenario for an automatic and efficient high-throughput of potential hydrogen based superconductors.",2024-03-12
"56",56,"towards a dynamic future with adaptable computing and network convergence (acnc)","masoud shokrnezhad, hao yu, tarik taleb, richard li, kyunghan lee, jaeseung song, cedric westphal","networking and internet architecture","in the context of advancing 6g, a substantial paradigm shift is anticipated, highlighting comprehensive everything-to-everything interactions characterized by numerous connections and stringent adherence to quality of service/experience (qos/e) prerequisites. the imminent challenge stems from resource scarcity, prompting a deliberate transition to computing-network convergence (cnc) as an auspicious approach for joint resource orchestration. while cnc-based mechanisms have garnered attention, their effectiveness in realizing future services, particularly in use cases like the metaverse, may encounter limitations due to the continually changing nature of users, services, and resources. hence, this paper presents the concept of adaptable cnc (acnc) as an autonomous machine learning (ml)-aided mechanism crafted for the joint orchestration of computing and network resources, catering to dynamic and voluminous user requests with stringent requirements. acnc encompasses two primary functionalities: state recognition and context detection. given the intricate nature of the user-service-computing-network space, the paper employs dimension reduction to generate live, holistic, abstract system states in a hierarchical structure. to address the challenges posed by dynamic changes, continual learning (cl) is employed, classifying the system state into contexts controlled by dedicated ml agents, enabling them to operate efficiently. these two functionalities are intricately linked within a closed loop overseen by the end-to-end (e2e) orchestrator to allocate resources. the paper introduces the components of acnc, proposes a metaverse scenario to exemplify acnc's role in resource provisioning with segment routing v6 (srv6), outlines acnc's workflow, details a numerical analysis for efficiency assessment, and concludes with discussions on relevant challenges and potential avenues for future research.",2024-03-12
"57",57,"exploring challenges in deep learning of single-station ground motion records","ümit mert çağlar, baris yilmaz, melek türkmen, erdem akagündüz, salih tileylioglu","signal processing","contemporary deep learning models have demonstrated promising results across various applications within seismology and earthquake engineering. these models rely primarily on utilizing ground motion records for tasks such as earthquake event classification, localization, earthquake early warning systems, and structural health monitoring. however, the extent to which these models effectively learn from these complex time-series signals has not been thoroughly analyzed. in this study, our objective is to evaluate the degree to which auxiliary information, such as seismic phase arrival times or seismic station distribution within a network, dominates the process of deep learning from ground motion records, potentially hindering its effectiveness. we perform a hyperparameter search on two deep learning models to assess their effectiveness in deep learning from ground motion records while also examining the impact of auxiliary information on model performance. experimental results reveal a strong reliance on the highly correlated p and s phase arrival information. our observations highlight a potential gap in the field, indicating an absence of robust methodologies for deep learning of single-station ground motion recordings independent of any auxiliary information.",2024-03-12
"58",58,"triples-to-isixhosa (t2x): addressing the challenges of low-resource agglutinative data-to-text generation","francois meyer, jan buys","computation and language","most data-to-text datasets are for english, so the difficulties of modelling data-to-text for low-resource languages are largely unexplored. in this paper we tackle data-to-text for isixhosa, which is low-resource and agglutinative. we introduce triples-to-isixhosa (t2x), a new dataset based on a subset of webnlg, which presents a new linguistic context that shifts modelling demands to subword-driven techniques. we also develop an evaluation framework for t2x that measures how accurately generated text describes the data. this enables future users of t2x to go beyond surface-level metrics in evaluation. on the modelling side we explore two classes of methods - dedicated data-to-text models trained from scratch and pretrained language models (plms). we propose a new dedicated architecture aimed at agglutinative data-to-text, the subword segmental pointer generator (sspg). it jointly learns to segment words and copy entities, and outperforms existing dedicated models for 2 agglutinative languages (isixhosa and finnish). we investigate pretrained solutions for t2x, which reveals that standard plms come up short. fine-tuning machine translation models emerges as the best method overall. these findings underscore the distinct challenge presented by t2x: neither well-established data-to-text architectures nor customary pretrained methodologies prove optimal. we conclude with a qualitative analysis of generation errors and an ablation study.",2024-03-12
"59",59,"learning generalizable feature fields for mobile manipulation","ri-zhao qiu, yafei hu, ge yang, yuchen song, yang fu, jianglong ye, jiteng mu, ruihan yang, nikolay atanasov, sebastian scherer, xiaolong wang","robotics","an open problem in mobile manipulation is how to represent objects and scenes in a unified manner, so that robots can use it both for navigating in the environment and manipulating objects. the latter requires capturing intricate geometry while understanding fine-grained semantics, whereas the former involves capturing the complexity inherit to an expansive physical scale. in this work, we present geff (generalizable feature fields), a scene-level generalizable neural feature field that acts as a unified representation for both navigation and manipulation that performs in real-time. to do so, we treat generative novel view synthesis as a pre-training task, and then align the resulting rich scene priors with natural language via clip feature distillation. we demonstrate the effectiveness of this approach by deploying geff on a quadrupedal robot equipped with a manipulator. we evaluate geff's ability to generalize to open-set objects as well as running time, when performing open-vocabulary mobile manipulation in dynamic scenes.",2024-03-12
"60",60,"a flexible cell classification for ml projects in jupyter notebooks","miguel perez, selin aydin, horst lichter","software engineering","jupyter notebook is an interactive development environment commonly used for rapid experimentation of machine learning (ml) solutions. describing the ml activities performed along code cells improves the readability and understanding of notebooks. manual annotation of code cells is time-consuming and error-prone. therefore, tools have been developed that classify the cells of a notebook concerning the ml activity performed in them. however, the current tools are not flexible, as they work based on look-up tables that have been created, which map function calls of commonly used ml libraries to ml activities. these tables must be manually adjusted to account for new or changed libraries. this paper presents a more flexible approach to cell classification based on a hybrid classification approach that combines a rule-based and a decision tree classifier. we discuss the design rationales and describe the developed classifiers in detail. we implemented the new flexible cell classification approach in a tool called jupylabel. its evaluation and the obtained metric scores regarding precision, recall, and f1-score are discussed. additionally, we compared jupylabel with headergen, an existing cell classification tool. we were able to show that the presented flexible cell classification approach outperforms this tool significantly.",2024-03-12
"61",61,"ensembling prioritized hybrid policies for multi-agent pathfinding","huijie tang, federico berto, jinkyoo park","multiagent systems","multi-agent reinforcement learning (marl) based multi-agent path finding (mapf) has recently gained attention due to its efficiency and scalability. several marl-mapf methods choose to use communication to enrich the information one agent can perceive. however, existing works still struggle in structured environments with high obstacle density and a high number of agents. to further improve the performance of the communication-based marl-mapf solvers, we propose a new method, ensembling prioritized hybrid policies (eph). we first propose a selective communication block to gather richer information for better agent coordination within multi-agent environments and train the model with a q-learning-based algorithm. we further introduce three advanced inference strategies aimed at bolstering performance during the execution phase. first, we hybridize the neural policy with single-agent expert guidance for navigating conflict-free zones. secondly, we propose q value-based methods for prioritized resolution of conflicts as well as deadlock situations. finally, we introduce a robust ensemble method that can efficiently collect the best out of multiple possible solutions. we empirically evaluate eph in complex multi-agent environments and demonstrate competitive performance against state-of-the-art neural methods for mapf.",2024-03-12
"62",62,"sifid: reassess summary factual inconsistency detection with llm","jiuding yang, hui liu, weidong guo, zhuwei rao, yu xu, di niu","computation and language","ensuring factual consistency between the summary and the original document is paramount in summarization tasks. consequently, considerable effort has been dedicated to detecting inconsistencies. with the advent of large language models (llms), recent studies have begun to leverage their advanced language understanding capabilities for inconsistency detection. however, early attempts have shown that llms underperform traditional models due to their limited ability to follow instructions and the absence of an effective detection methodology. in this study, we reassess summary inconsistency detection with llms, comparing the performances of gpt-3.5 and gpt-4. to advance research in llm-based inconsistency detection, we propose sifid (summary inconsistency detection with filtered document) that identify key sentences within documents by either employing natural language inference or measuring semantic similarity between summaries and documents.",2024-03-12
"63",63,"online continual learning for interactive instruction following agents","byeonghwi kim, minhyuk seo, jonghyun choi","artificial intelligence","in learning an embodied agent executing daily tasks via language directives, the literature largely assumes that the agent learns all training data at the beginning. we argue that such a learning scenario is less realistic since a robotic agent is supposed to learn the world continuously as it explores and perceives it. to take a step towards a more realistic embodied agent learning scenario, we propose two continual learning setups for embodied agents; learning new behaviors (behavior incremental learning, behavior-il) and new environments (environment incremental learning, environment-il) for the tasks, previous 'data prior' based continual learning methods maintain logits for the past tasks. however, the stored information is often insufficiently learned information and requires task boundary information, which might not always be available. here, we propose to update them based on confidence scores without task boundary information during training (i.e., task-free) in a moving average fashion, named confidence-aware moving average (cama). in the proposed behavior-il and environment-il setups, our simple cama outperforms prior state of the art in our empirical validations by noticeable margins. the project page including codes is this https url.",2024-03-12
"64",64,"a survey of vision transformers in autonomous driving: current trends and future directions","quoc-vinh lai-dang","computer vision and pattern recognition","this survey explores the adaptation of visual transformer models in autonomous driving, a transition inspired by their success in natural language processing. surpassing traditional recurrent neural networks in tasks like sequential image processing and outperforming convolutional neural networks in global context capture, as evidenced in complex scene recognition, transformers are gaining traction in computer vision. these capabilities are crucial in autonomous driving for real-time, dynamic visual scene processing. our survey provides a comprehensive overview of vision transformer applications in autonomous driving, focusing on foundational concepts such as self-attention, multi-head attention, and encoder-decoder architecture. we cover applications in object detection, segmentation, pedestrian detection, lane detection, and more, comparing their architectural merits and limitations. the survey concludes with future research directions, highlighting the growing role of vision transformers in autonomous driving.",2024-03-12
"65",65,"wannalaugh: a configurable ransomware emulator -- learning to mimic malicious storage traces","dionysios diamantopolous, roman pletka, slavisa sarafijanovic, a.l. narasimha reddy, haris pozidis","cryptography and security","ransomware, a fearsome and rapidly evolving cybersecurity threat, continues to inflict severe consequences on individuals and organizations worldwide. traditional detection methods, reliant on static signatures and application behavioral patterns, are challenged by the dynamic nature of these threats. this paper introduces three primary contributions to address this challenge. first, we introduce a ransomware emulator. this tool is designed to safely mimic ransomware attacks without causing actual harm or spreading malware, making it a unique solution for studying ransomware behavior. second, we demonstrate how we use this emulator to create storage i/o traces. these traces are then utilized to train machine-learning models. our results show that these models are effective in detecting ransomware, highlighting the practical application of our emulator in developing responsible cybersecurity tools. third, we show how our emulator can be used to mimic the i/o behavior of existing ransomware thereby enabling safe trace collection. both the emulator and its application represent significant steps forward in ransomware detection in the era of machine-learning-driven cybersecurity.",2024-03-12
"66",66,"lab-gatr: geometric algebra transformers for large biomedical surface and volume meshes","julian suk, baris imre, jelmer m. wolterink","computer vision and pattern recognition","many anatomical structures can be described by surface or volume meshes. machine learning is a promising tool to extract information from these 3d models. however, high-fidelity meshes often contain hundreds of thousands of vertices, which creates unique challenges in building deep neural network architectures. furthermore, patient-specific meshes may not be canonically aligned which limits the generalisation of machine learning algorithms. we propose lab-gatr, a transfomer neural network with geometric tokenisation that can effectively learn with large-scale (bio-)medical surface and volume meshes through sequence compression and interpolation. our method extends the recently proposed geometric algebra transformer (gatr) and thus respects all euclidean symmetries, i.e. rotation, translation and reflection, effectively mitigating the problem of canonical alignment between patients. lab-gatr achieves state-of-the-art results on three tasks in cardiovascular hemodynamics modelling and neurodevelopmental phenotype prediction, featuring meshes of up to 200,000 vertices. our results demonstrate that lab-gatr is a powerful architecture for learning with high-fidelity meshes which has the potential to enable interesting downstream applications. our implementation is publicly available.",2024-03-12
"67",67,"physics-transfer learning for material strength screening","yingjie zhao, zian zhang, zhiping xu","materials science","the strength of materials, like many problems in the natural sciences, spans multiple length and time scales, and the solution has to balance accuracy and performance. peierls stress is one of the central concepts in crystal plasticity that measures the strength through the resistance of a dislocation to plastic flow. the determination of peierls stress involves a multiscale nature depending on both elastic lattice responses and the energy landscape of crystal slips. material screening by strength via the peierls stress from first-principles calculations is computationally intractable for the nonlocal characteristics of dislocations, and not included in the state-of-the-art computational material databases. in this work, we propose a physics-transfer framework to learn the physics of crystal plasticity from empirical atomistic simulations and then predict the peierls stress from chemically accurate density functional theory-based calculations of material parameters. notably, the strengths of single-crystalline metals can be predicted from a few single-point calculations for the deformed lattice and on the {\gamma} surface, allowing efficient, high-throughput screening for material discovery. uncertainty quantification is carried out to assess the accuracy of models and sources of errors, showing reduced physical and system uncertainties in the predictions by elevating the fidelity of training models. this physics-transfer framework can be generalized to other problems facing the accuracy-performance dilemma, by harnessing the hierarchy of physics in the multiscale models of materials science.",2024-03-12
"68",68,"universal chemical formula dependence of $ab$ $initio$ low-energy effective hamiltonian in single-layer carrier doped cuprate superconductors -- study by hierarchical dependence extraction algorithm","jean-baptiste morée, ryotaro arita","superconductivity","we explore the possibility to control the superconducting (sc) transition temperature at optimal hole doping $t_{c}^{\rm opt}$ in cuprates by tuning the chemical formula (cf). $t_{c}^{\rm opt}$ can be theoretically predicted from the parameters of the \textit{ab initio} low-energy effective hamiltonian (leh) with one antibonding (ab) cu$3d_{x^2-y^2}$/o$2p_{\sigma}$ orbital per cu atom in the cuo$_2$ plane, notably the nearest neighbor hopping amplitude $|t_1|$ and the ratio $u=u/|t_1|$, where $u$ is the onsite effective coulomb repulsion. however, the cf dependence of $|t_1|$ and $u$ is a highly nontrivial question. in this paper, we propose the universal dependence of $|t_1|$ and $u$ on the cf and structural features in hole doped cuprates with a single cuo$_2$ layer sandwiched between block layers. to do so, we perform extensive \textit{ab initio} calculations of $|t_1|$ and $u$ and analyze the results by employing a machine learning method called hierarchical dependence extraction (hde). the main results are the following: (a) $|t_1|$ has a main-order dependence on the radii $r_{\rm x}$ and $r_{\rm a}$ of the apical anion x and cation a in the block layer. ($|t_1|$ increases when $r_{\rm x}$ or $r_{\rm a}$ decreases.) (b) $u$ has a main-order dependence on the negative ionic charge $z_{\rm x}$ of x and the hole doping $\delta$ of the ab orbital. ($u$ decreases when $|z_{\rm x}|$ increases or $\delta$ increases.) we elucidate and discuss the microscopic mechanism of (a,b). we demonstrate the predictive power of the hde by showing the consistency between (a,b) and results from previous works. the present results provide a basis for optimizing sc properties in cuprates and possibly akin materials. also, the hde method offers a general platform to identify dependencies between physical quantities.",2024-03-12
"69",69,"online misogyny against female candidates in the 2022 brazilian elections: a threat to women's political representation?","luise kocha, raji ghawi, jürgen pfeffer, janina isabel steinert","social and information networks","technology-facilitated gender-based violence has become a global threat to women's political representation and democracy. understanding how online hate affects its targets is thus paramount. we analyse 10 million tweets directed at female candidates in the brazilian election in 2022 and examine their reactions to online misogyny. using a self-trained machine learning classifier to detect portuguese misogynistic tweets and a quantitative analysis of the candidates' tweeting behaviour, we investigate how the number of misogynistic attacks received alters the online activity of the female candidates. we find that young and left-wing candidates and candidates with higher visibility online received significantly more attacks. furthermore, we find that an increase in misogynistic attacks in the previous week is associated with a decrease in female candidates' tweets in the following week. this potentially threatens their equal participation in public opinion building and silences women's voices in political discourse.",2024-03-12
"70",70,"reconstructions of jupiter's magnetic field using physics informed neural networks","philip w. livermore, leyuan wu, longwei chen, sjoerd a.l. de ridder","earth and planetary astrophysics","magnetic sounding using data collected from the juno mission can be used to provide constraints on jupiter's interior. however, inwards continuation of reconstructions assuming zero electrical conductivity and a representation in spherical harmonics are limited by the enhancement of noise at small scales. in this paper we describe new reconstructions of jupiter's internal magnetic field based on physics-informed neural networks and either the first 33 (pinn33) or the first 50 (pinn50) of juno's orbits. the method can resolve local structures, and allows for weak ambient electrical currents. compared with other methods, our reconstructions of jupiter's magnetic field both on and above the surface are similar, and we achieve a similar fit to the juno data. however, our models are not hampered by noise at depth, and so offer a much clearer picture of the interior structure. we estimate that the dynamo boundary is at a fractional radius of 0.8. at this depth, the magnetic field is arranged into longitudinal bands, and the great blue spot appears to be rooted in neighbouring structures of oppositely signed flux.",2024-03-12
